id,subtotal,zone_code,weight_kg,fee,created_at
1,620000,remote,7.0,70000,2026-01-24
2,760000,inner,18.6,30000,2026-02-22
3,490000,remote,0.9,70000,2026-07-02
4,1240000,inner,5.1,30000,2026-01-18
5,2840000,remote,11.3,70000,2026-07-08
6,80000,suburb,10.7,45000,2026-03-23
7,840000,suburb,8.5,45000,2026-04-25
8,1990000,inner,21.2,30000,2026-02-12
9,1400000,remote,11.6,70000,2026-01-24
10,1980000,inner,7.5,30000,2026-02-18
11,1900000,remote,1.9,70000,2026-04-23
12,1210000,remote,21.4,70000,2026-05-03
13,1990000,inner,16.0,30000,2026-05-15
14,880000,suburb,5.4,45000,2026-06-12
15,410000,suburb,18.3,45000,2026-03-18
16,2410000,inner,24.7,30000,2026-07-09
17,2900000,remote,8.2,70000,2026-04-22
18,1220000,inner,8.0,30000,2026-01-26
19,380000,suburb,21.9,45000,2026-04-19
20,1130000,suburb,22.1,45000,2026-08-13
21,2390000,remote,3.7,70000,2026-03-09
22,2920000,remote,14.7,70000,2026-05-24
23,2090000,remote,24.9,70000,2026-06-08
24,2650000,inner,18.9,30000,2026-08-03
25,830000,inner,17.1,30000,2026-03-26
26,370000,remote,15.0,70000,2026-07-13
27,2750000,suburb,21.5,45000,2026-05-18
28,630000,inner,16.1,30000,2026-05-25
29,1550000,inner,11.5,30000,2026-07-06
30,1390000,remote,22.8,70000,2026-03-17
31,1570000,remote,9.5,70000,2026-04-05
32,2810000,inner,8.2,30000,2026-01-20
33,620000,inner,20.2,30000,2026-06-27
34,340000,inner,23.7,30000,2026-04-19
35,2530000,inner,13.4,30000,2026-02-25
36,700000,inner,4.3,30000,2026-08-18
37,2210000,remote,18.9,70000,2026-04-18
38,1070000,remote,24.9,70000,2026-05-13
39,1960000,remote,11.4,70000,2026-08-17
40,1200000,inner,0.7,30000,2026-02-11
41,1220000,remote,2.0,70000,2026-04-01
42,350000,remote,22.7,70000,2026-04-03
43,410000,suburb,16.8,45000,2026-04-09
44,2810000,inner,23.4,30000,2026-03-24
45,2470000,remote,11.9,70000,2026-04-26
46,1020000,suburb,16.5,45000,2026-02-04
47,2210000,suburb,21.6,45000,2026-07-15
48,550000,inner,18.3,30000,2026-01-13
49,1320000,inner,13.5,30000,2026-04-07
50,2210000,inner,11.7,30000,2026-03-09
51,2310000,inner,16.4,30000,2026-02-02
52,120000,remote,21.2,70000,2026-02-25
53,2130000,inner,5.5,30000,2026-08-16
54,350000,suburb,0.3,45000,2026-03-13
55,1400000,suburb,10.7,45000,2026-08-10
56,2890000,remote,4.9,70000,2026-08-05
57,340000,inner,8.0,30000,2026-01-24
58,2490000,inner,24.0,30000,2026-03-02
59,1000000,inner,1.9,30000,2026-02-20
60,2110000,inner,6.3,30000,2026-02-19
61,250000,remote,16.5,70000,2026-02-14
62,2720000,remote,5.3,70000,2026-06-09
63,1650000,remote,10.0,70000,2026-04-09
64,1580000,remote,23.2,70000,2026-08-11
65,90000,inner,25.0,30000,2026-08-20
66,420000,inner,6.8,30000,2026-04-17
67,400000,suburb,7.3,45000,2026-04-12
68,2830000,suburb,24.6,45000,2026-05-20
69,2750000,remote,20.5,70000,2026-01-22
70,580000,suburb,3.1,45000,2026-03-09
71,2880000,inner,7.2,30000,2026-03-09
72,1800000,inner,15.9,30000,2026-04-22
73,2630000,suburb,22.7,45000,2026-08-09
74,520000,inner,7.1,30000,2026-07-27
75,1750000,inner,24.5,30000,2026-03-21
76,2310000,inner,0.4,30000,2026-07-18
77,810000,inner,9.4,30000,2026-01-27
78,800000,remote,1.2,70000,2026-07-05
79,250000,suburb,17.1,45000,2026-06-07
80,570000,remote,14.1,70000,2026-06-25
81,840000,suburb,4.2,45000,2026-04-28
82,2160000,inner,18.5,30000,2026-01-06
83,2150000,suburb,4.1,45000,2026-04-09
84,600000,remote,1.2,70000,2026-07-28
85,1180000,suburb,23.0,45000,2026-04-27
86,1610000,suburb,0.8,45000,2026-04-08
87,2090000,inner,21.6,30000,2026-06-09
88,1840000,suburb,24.5,45000,2026-07-22
89,1740000,remote,22.0,70000,2026-01-04
90,960000,suburb,2.9,45000,2026-05-02
91,1810000,suburb,15.2,45000,2026-06-14
92,640000,remote,4.9,70000,2026-07-19
93,2280000,inner,23.2,30000,2026-01-17
94,1050000,remote,1.9,70000,2026-06-14
95,1740000,remote,21.2,70000,2026-06-22
96,1580000,remote,10.3,70000,2026-05-22
97,1560000,suburb,10.6,45000,2026-03-07
98,940000,suburb,13.8,45000,2026-05-13
99,1600000,inner,10.9,30000,2026-05-07
100,1690000,remote,11.2,70000,2026-08-15
101,2660000,inner,22.5,30000,2026-08-26
102,910000,remote,13.0,70000,2026-02-10
103,1760000,remote,23.8,70000,2026-02-27
104,1630000,inner,5.1,30000,2026-04-26
105,280000,inner,15.4,30000,2026-04-16
106,2380000,inner,14.5,30000,2026-07-21
107,2010000,remote,6.3,70000,2026-08-13
108,70000,remote,10.7,70000,2026-02-25
109,2700000,inner,14.0,30000,2026-08-02
110,2380000,inner,11.7,30000,2026-03-26
111,2910000,remote,22.3,70000,2026-06-25
112,2630000,remote,22.7,70000,2026-07-27
113,860000,suburb,6.6,45000,2026-08-15
114,1460000,inner,6.1,30000,2026-08-21
115,440000,suburb,6.9,45000,2026-05-08
116,2810000,suburb,3.9,45000,2026-02-05
117,830000,suburb,10.5,45000,2026-04-03
118,2820000,suburb,1.7,45000,2026-08-14
119,2040000,suburb,22.0,45000,2026-01-28
120,1990000,remote,23.6,70000,2026-08-01
121,2040000,suburb,18.7,45000,2026-07-18
122,1170000,remote,7.0,70000,2026-08-08
123,190000,suburb,16.8,45000,2026-07-11
124,890000,suburb,24.5,45000,2026-08-05
125,180000,remote,14.2,70000,2026-07-19
126,470000,inner,21.7,30000,2026-07-05
127,300000,inner,8.3,30000,2026-05-13
128,1720000,suburb,22.0,45000,2026-06-25
129,2200000,suburb,2.2,45000,2026-05-27
130,2810000,inner,5.8,30000,2026-01-12
131,250000,inner,5.1,30000,2026-01-08
132,830000,inner,11.9,30000,2026-04-05
133,2930000,inner,17.5,30000,2026-04-15
134,900000,suburb,20.5,45000,2026-02-25
135,600000,suburb,14.5,45000,2026-01-10
136,2080000,suburb,14.9,45000,2026-04-03
137,1290000,remote,19.4,70000,2026-02-23
138,660000,remote,13.4,70000,2026-01-12
139,1940000,remote,16.3,70000,2026-02-17
140,2200000,inner,11.0,30000,2026-08-04
141,2400000,suburb,4.6,45000,2026-03-14
142,1430000,remote,11.0,70000,2026-08-15
143,1420000,remote,6.3,70000,2026-06-28
144,1470000,inner,18.8,30000,2026-08-08
145,1990000,remote,12.5,70000,2026-06-01
146,980000,suburb,9.0,45000,2026-08-07
147,1790000,suburb,17.6,45000,2026-05-20
148,2890000,suburb,23.7,45000,2026-01-17
149,1280000,inner,14.0,30000,2026-07-16
150,2480000,inner,19.9,30000,2026-08-15
151,1550000,inner,17.4,30000,2026-04-13
152,1930000,suburb,13.4,45000,2026-08-18
153,2860000,suburb,17.6,45000,2026-06-12
154,1610000,suburb,3.2,45000,2026-05-08
155,1660000,inner,13.5,30000,2026-02-24
156,990000,remote,18.5,70000,2026-04-07
157,2730000,suburb,20.8,45000,2026-05-04
158,1210000,suburb,7.7,45000,2026-06-06
159,2780000,remote,1.3,70000,2026-03-09
160,2880000,inner,23.6,30000,2026-05-23
161,2560000,remote,0.5,70000,2026-02-28
162,2450000,suburb,8.6,45000,2026-08-15
163,1340000,inner,20.6,30000,2026-08-04
164,2560000,suburb,15.8,45000,2026-02-19
165,820000,inner,14.2,30000,2026-03-26
166,480000,suburb,14.0,45000,2026-04-04
167,1200000,suburb,22.7,45000,2026-07-15
168,2240000,suburb,15.6,45000,2026-05-19
169,550000,remote,5.4,70000,2026-04-21
170,460000,remote,4.5,70000,2026-03-08
171,850000,inner,11.4,30000,2026-01-14
172,2450000,remote,5.9,70000,2026-05-02
173,1490000,remote,17.2,70000,2026-08-03
174,1060000,suburb,13.7,45000,2026-07-04
175,810000,remote,3.7,70000,2026-05-27
176,890000,inner,18.8,30000,2026-05-20
177,1520000,remote,11.8,70000,2026-08-04
178,2110000,suburb,13.6,45000,2026-05-17
179,460000,suburb,18.4,45000,2026-01-14
180,1330000,remote,5.9,70000,2026-01-03
181,2990000,remote,16.9,70000,2026-01-25
182,250000,suburb,13.1,45000,2026-03-16
183,1470000,suburb,11.0,45000,2026-03-19
184,510000,suburb,10.3,45000,2026-08-12
185,580000,suburb,10.4,45000,2026-03-11
186,1520000,suburb,19.1,45000,2026-07-27
187,2370000,inner,6.5,30000,2026-02-11
